Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Subject to Cap,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs,Year,Licensee ABN,Licensee ACN,Licensee Type
LIQH400100728,Liquor - hotel licence,1960-04-27 00:00:00,Current,1960-04-27 00:00:00,Trading,Bridge Hotel,135 Victoria Rd,ROZELLE,2039.0,-33.862793,151.168942,Inner West,,Metropolitan,Richard Keough,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Lilyfield - Rozelle,No,1.0,15,0,15,0,15,15,2022,,,
LIQH400103174,Liquor - hotel licence,1960-04-27 00:00:00,Current,2020-10-21 00:00:00,Trading,Ivanhoe Hotel,"Part 19-23, 25, 27 and Part 31 The Corso",MANLY,2095.0,-33.806016,151.294778,Northern Beaches,,Metropolitan,Samuel Baker,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Manly - Fairlight,No,1.0,15,15,30,0,30,30,2022,,,
LIQH400119321,Liquor - hotel licence,1960-04-20 00:00:00,Current,1960-04-20 00:00:00,Trading,Lake George Hotel/Motel,20 Gibraltar St,BUNGENDORE,2621.0,-35.253732,149.44041,Queanbeyan-Palerang Regional,,Country,Richard Harry,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Queanbeyan Region,No,1.0,23,0,23,0,23,17,2022,,,
LIQH400102836,Liquor - hotel licence,1960-04-19 00:00:00,Current,1960-04-19 00:00:00,Trading,The Alfred Hotel,Missenden Rd & Dunbane St,CAMPERDOWN,2050.0,-33.888043,151.180627,Sydney,,Metropolitan,Samuel Smith,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Newtown - Camperdown - Darlington,No,1.0,15,0,15,0,15,15,2022,,,
LIQH400100523,Liquor - hotel licence,1960-04-11 00:00:00,Current,1960-04-11 00:00:00,Trading,The Beverly Hills Hotel,427 King Georges Rd,BEVERLY HILLS,2209.0,-33.950363,151.081099,Georges River,,Metropolitan,GLENBOURNE INVESTMENTS PTY. LTD.,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Narwee - Beverly Hills,No,2.0,30,0,30,0,30,30,2022,,,
LIQH400100558,Liquor - hotel licence,1960-04-11 00:00:00,Current,1960-04-11 00:00:00,Trading,The Beresford Hotel,354 Bourke St,SURRY HILLS,2010.0,-33.883304,151.216591,Sydney,Sydney CBD Precinct,Metropolitan,Paul Flynn,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Surry Hills,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400104383,Liquor - hotel licence,1960-04-11 00:00:00,Current,1960-04-11 00:00:00,Trading,Universal Hotel,85-91 Oxford St,DARLINGHURST,2010.0,-33.879006,151.214447,Sydney,Sydney CBD Precinct,Metropolitan,Dillon SHAW,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Darlinghurst,No,1.0,9,11,20,0,20,20,2022,,,
LIQH400105452,Liquor - hotel licence,1960-04-11 00:00:00,Current,1960-04-11 00:00:00,Trading,Royal Sheaf Hotel,231 Burwood Rd,BURWOOD,2134.0,-33.887237,151.101308,Burwood,,Metropolitan,Aaron Smart,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Burwood - Croydon,No,2.0,15,15,30,0,30,30,2022,,,
LIQH400106416,Liquor - hotel licence,1960-04-11 00:00:00,Current,1960-04-11 00:00:00,Trading,Wentworth Hotel,195 Parramatta Rd,HOMEBUSH WEST,2140.0,-33.859521,151.073535,Strathfield,,Metropolitan,Elie Boumelhem,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Homebush,No,2.0,30,0,30,0,30,30,2022,,,
LIQH400108818,Liquor - hotel licence,1960-04-11 00:00:00,Current,1960-04-11 00:00:00,Trading,Home Nightclub,"Cockle Bay Wharf, Tenancy 101 1 Wheat Rd",SYDNEY,2000.0,-33.869534,151.202069,Sydney,Sydney CBD Precinct,Metropolitan,BIG BEAT (AUSTRALIA) PTY LIMITED,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400103832,Liquor - hotel licence,1960-04-07 00:00:00,Current,2017-07-07 00:00:00,Trading,Shell House,14 Carrington St,SYDNEY,2000.0,-33.865346,151.206679,Sydney,Sydney CBD Precinct,Metropolitan,Andrew Condon,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH400104049,Liquor - hotel licence,1960-04-07 00:00:00,Current,1960-04-07 00:00:00,Trading,Bar Lucca,52 Phillip St,SYDNEY,2000.0,-33.864093,151.21204,Sydney,Sydney CBD Precinct,Metropolitan,Andrew Martin,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,1,0,1,0,1,0,2022,,,
LIQH400104790,Liquor - hotel licence,1960-04-04 00:00:00,Current,2022-10-28 00:00:00,Trading,Mirage Hotel,802-806 Punchbowl Rd,PUNCHBOWL,2196.0,-33.926183,151.054272,Canterbury-Bankstown,,Metropolitan,Souheil Khoury,Full hotel,"Extended trading authorisation,Reduced trading hours,Right to keep gaming machines",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Punchbowl,Yes,3.0,23,7,30,0,30,30,2022,,,
