Location_Name,Date,TotalCount,Hour,Day,DayNo
Elizabeth Street,2025-04-19 22:00:00+00:00,56,22,Saturday,6
Market Street,2025-04-19 22:00:00+00:00,433,22,Saturday,6
Park Street,2025-04-19 01:00:00+00:00,256,1,Saturday,6
Elizabeth Street,2025-04-19 01:00:00+00:00,6,1,Saturday,6
Bridge Street,2025-04-19 01:00:00+00:00,11,1,Saturday,6
Market Street,2025-04-19 01:00:00+00:00,11,1,Saturday,6
Park Street,2025-04-19 00:00:00+00:00,361,0,Saturday,6
Market Street,2025-04-19 00:00:00+00:00,33,0,Saturday,6
Elizabeth Street,2025-04-19 00:00:00+00:00,13,0,Saturday,6
Bridge Street,2025-04-19 00:00:00+00:00,12,0,Saturday,6
Park Street,2025-04-18 23:00:00+00:00,334,23,Friday,5
Market Street,2025-04-18 23:00:00+00:00,65,23,Friday,5
Elizabeth Street,2025-04-18 23:00:00+00:00,26,23,Friday,5
Bridge Street,2025-04-18 23:00:00+00:00,49,23,Friday,5
Bridge Street,2025-04-18 22:00:00+00:00,107,22,Friday,5
Elizabeth Street,2025-04-18 22:00:00+00:00,43,22,Friday,5
Park Street,2025-04-18 22:00:00+00:00,1301,22,Friday,5
Market Street,2025-04-18 22:00:00+00:00,211,22,Friday,5
Park Street,2025-04-13 01:00:00+00:00,734,1,Sunday,0
Market Street,2025-04-13 01:00:00+00:00,86,1,Sunday,0
Elizabeth Street,2025-04-13 01:00:00+00:00,13,1,Sunday,0
Bridge Street,2025-04-13 01:00:00+00:00,116,1,Sunday,0
Park Street,2025-04-13 00:00:00+00:00,726,0,Sunday,0
Market Street,2025-04-13 00:00:00+00:00,158,0,Sunday,0
Elizabeth Street,2025-04-13 00:00:00+00:00,16,0,Sunday,0
Bridge Street,2025-04-13 00:00:00+00:00,179,0,Sunday,0
Park Street,2025-04-12 23:00:00+00:00,893,23,Saturday,6
Market Street,2025-04-12 23:00:00+00:00,246,23,Saturday,6
Elizabeth Street,2025-04-12 23:00:00+00:00,50,23,Saturday,6
Bridge Street,2025-04-12 23:00:00+00:00,237,23,Saturday,6
Park Street,2025-04-12 22:00:00+00:00,1480,22,Saturday,6
Market Street,2025-04-12 22:00:00+00:00,485,22,Saturday,6
Elizabeth Street,2025-04-12 22:00:00+00:00,56,22,Saturday,6
Bridge Street,2025-04-12 22:00:00+00:00,299,22,Saturday,6
Bridge Street,2025-04-12 01:00:00+00:00,71,1,Saturday,6
Elizabeth Street,2025-04-12 01:00:00+00:00,7,1,Saturday,6
Market Street,2025-04-12 01:00:00+00:00,68,1,Saturday,6
